,Date, Open, High, Low, Close,Date_PE,PE_CAPE,TR CAPE,Yield
3260,01/22/08,1266.79,1322.09,1274.29,1310.5,2008.01,24.02,25.89,3.13%
3261,01/18/08,1333.94,1350.28,1312.51,1325.19,2008.01,24.02,25.89,3.13%
3262,01/17/08,1374.79,1377.72,1330.67,1333.25,2008.01,24.02,25.89,3.13%
3263,01/16/08,1373.27,1391.99,1364.27,1373.2,2008.01,24.02,25.89,3.13%
3264,01/15/08,1397.73,1411.88,1380.6,1380.95,2008.01,24.02,25.89,3.13%
3265,01/14/08,1412.87,1417.89,1402.91,1416.25,2008.01,24.02,25.89,3.13%
3266,01/11/08,1406.91,1419.91,1394.83,1401.02,2008.01,24.02,25.89,3.13%
3267,01/10/08,1397.54,1429.07,1395.3,1420.33,2008.01,24.02,25.89,3.13%
3268,01/09/08,1390.43,1409.19,1378.7,1409.13,2008.01,24.02,25.89,3.13%
3269,01/08/08,1422.15,1430.28,1388.3,1390.19,2008.01,24.02,25.89,3.13%
3270,01/07/08,1417.97,1423.87,1403.45,1416.18,2008.01,24.02,25.89,3.13%
3271,01/04/08,1411.63,1444.01,1411.19,1411.63,2008.01,24.02,25.89,3.13%
3272,01/03/08,1447.16,1456.8,1443.73,1447.16,2008.01,24.02,25.89,3.13%
3273,01/02/08,1447.16,1471.77,1442.07,1447.16,2008.01,24.02,25.89,3.13%
3274,12/31/07,1468.36,1475.83,1465.13,1468.36,2007.12,25.96,27.96,2.43%
3275,12/28/07,1478.49,1487.9,1471.74,1478.49,2007.12,25.96,27.96,2.43%
3276,12/27/07,1476.37,1495.05,1475.86,1476.37,2007.12,25.96,27.96,2.43%
3277,12/26/07,1497.66,1498.85,1488.2,1497.66,2007.12,25.96,27.96,2.43%
3278,12/24/07,1496.45,1497.63,1484.55,1496.45,2007.12,25.96,27.96,2.43%
3279,12/21/07,1484.46,1485.4,1463.19,1484.46,2007.12,25.96,27.96,2.43%
3280,12/20/07,1460.12,1461.53,1447.22,1460.12,2007.12,25.96,27.96,2.43%
3281,12/19/07,1453.0,1464.4,1445.49,1453.0,2007.12,25.96,27.96,2.43%
3282,12/18/07,1454.98,1460.16,1435.65,1454.98,2007.12,25.96,27.96,2.43%
3283,12/17/07,1445.9,1467.95,1445.46,1445.9,2007.12,25.96,27.96,2.43%
3284,12/14/07,1467.95,1488.39,1467.87,1467.95,2007.12,25.96,27.96,2.43%
3285,12/13/07,1488.41,1489.4,1469.21,1488.41,2007.12,25.96,27.96,2.43%
3286,12/12/07,1486.59,1511.96,1468.23,1486.59,2007.12,25.96,27.96,2.43%
3287,12/11/07,1477.65,1523.57,1475.99,1477.65,2007.12,25.96,27.96,2.43%
3288,12/10/07,1515.96,1518.27,1504.96,1515.96,2007.12,25.96,27.96,2.43%
3289,12/07/07,1504.66,1510.41,1502.71,1504.66,2007.12,25.96,27.96,2.43%
3290,12/06/07,1507.34,1508.02,1482.19,1507.34,2007.12,25.96,27.96,2.43%
3291,12/05/07,1485.01,1485.85,1462.06,1485.01,2007.12,25.96,27.96,2.43%
3292,12/04/07,1462.79,1471.34,1460.66,1462.79,2007.12,25.96,27.96,2.43%
3293,12/03/07,1472.42,1481.16,1470.08,1472.42,2007.12,25.96,27.96,2.43%
3294,11/30/07,1481.14,1488.74,1469.72,1481.14,2007.11,25.73,27.71,2.41%
3295,11/29/07,1469.72,1473.81,1458.36,1469.72,2007.11,25.73,27.71,2.41%
3296,11/28/07,1469.02,1471.62,1432.95,1469.02,2007.11,25.73,27.71,2.41%
3297,11/27/07,1428.23,1429.49,1407.43,1428.23,2007.11,25.73,27.71,2.41%
3298,11/26/07,1407.22,1446.09,1406.1,1407.22,2007.11,25.73,27.71,2.41%
3299,11/23/07,1440.7,1440.86,1417.62,1440.7,2007.11,25.73,27.71,2.41%
3300,11/21/07,1416.77,1436.4,1415.64,1416.77,2007.11,25.73,27.71,2.41%
3301,11/20/07,1439.7,1452.64,1419.28,1439.7,2007.11,25.73,27.71,2.41%
3302,11/19/07,1433.27,1456.7,1430.42,1433.27,2007.11,25.73,27.71,2.41%
3303,11/16/07,1458.74,1462.18,1443.99,1458.74,2007.11,25.73,27.71,2.41%
3304,11/15/07,1451.15,1472.67,1443.49,1451.15,2007.11,25.73,27.71,2.41%
3305,11/14/07,1470.58,1492.14,1466.47,1470.58,2007.11,25.73,27.71,2.41%
3306,11/13/07,1481.05,1481.37,1441.35,1481.05,2007.11,25.73,27.71,2.41%
3307,11/12/07,1439.18,1464.94,1438.53,1439.18,2007.11,25.73,27.71,2.41%
3308,11/09/07,1453.7,1474.09,1448.51,1453.7,2007.11,25.73,27.71,2.41%
3309,11/08/07,1474.77,1482.5,1450.31,1474.77,2007.11,25.73,27.71,2.41%
3310,11/07/07,1475.62,1515.46,1475.04,1475.62,2007.11,25.73,27.71,2.41%
3311,11/06/07,1520.27,1520.77,1499.07,1520.27,2007.11,25.73,27.71,2.41%
